MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRLHR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRLR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRMT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRMT10
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRMT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRMT3
0.255728429037793	0.293	NA	NA	NA	NA	0	0.977011494252874	NA	PRMT5
0.0809345154303822	0.33	NA	NA	NA	NA	0	0.896551724137931	NA	PRMT6
0.177855099359653	0.046	NA	NA	NA	NA	0	0.310344827586207	NA	PRMT7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRMT8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRND
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRNP
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROC
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROCA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROCR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRODH
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRODH2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROKR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROKR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROSC
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PROZ
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF18
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF19
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF31
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF38A
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF38B
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF39
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF40A
0.395219731320191	0.013	NA	NA	NA	NA	0	0.114942528735632	NA	PRPF40B
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF4B
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPF8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPH
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPH2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPS1L1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPSAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRPSAP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR11
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR12
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR13
0.419772095045889	0.055	NA	NA	NA	NA	0	0.942528735632184	NA	PRR14
0.137821117994824	0.122	NA	NA	NA	NA	0	0.735632183908046	NA	PRR15
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR15L
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR16
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR18
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR19
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR22
0.145240422472402	0.229	NA	NA	NA	NA	0	0.885057471264368	NA	PRR24
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR25
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR5L
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRR7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRC1
0.163721716961356	0.051	NA	NA	NA	NA	0	0.459770114942529	NA	PRRG2
0.216095276783266	0.023	NA	NA	NA	NA	0	0.494252873563218	NA	PRRG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRT3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRT4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRRX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS12
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS16
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS21
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS22
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS23
