HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:48926	CDR1-AS	ciRS-7		103611090
HGNC:48926	CDR1-AS	CDR1as		103611090
HGNC:14382	CDRT3			94145
HGNC:14386	CDRT7	NCRNA00025		94150
HGNC:14386	CDRT7	LINC00025		94150
HGNC:14387	CDRT8			94151
HGNC:25710	CEBPA-DT		CEBPA-AS1	80054
HGNC:51226	CEBPB-AS1			101927559
HGNC:1841	CECR3			27442
HGNC:1845	CECR7	SAHL1		100130418
HGNC:1847	CECR9			30847
HGNC:23515	CELF2-AS1	FLJ40494	C10orf31	414196
HGNC:23515	CELF2-AS1	Em:AC026887.2	C10orf31	414196
HGNC:44703	CELF2-AS2			439950
HGNC:54157	CELF2-DT			101928322
HGNC:27055	CEP83-DT		CCDC41-AS1	144486
HGNC:27055	CEP83-DT		CEP83-AS1	144486
HGNC:52664	CERNA1	LOC100129973		100129973
HGNC:51354	CERNA2	HOST2		642934
HGNC:53469	CERNA3	CTA		105375847
HGNC:51431	CERS3-AS1			102723320
HGNC:44485	CERS6-AS1			100861402
HGNC:41113	CFAP44-AS1		WDR52-AS1	100874029
HGNC:45243	CFAP58-DT	lncITPRIP-1	CCDC147-AS1	100505869
HGNC:45243	CFAP58-DT	lncITPRIP-1	CFAP58-AS1	100505869
HGNC:14437	CFLAR-AS1		ALS2CR10	65072
HGNC:40144	CFTR-AS1	BGas		111082987
HGNC:53620	CHAER1	Chaer		105377667
HGNC:40146	CHKB-DT		CHKB-AS1	100144603
HGNC:40148	CHL1-AS1			101927193
HGNC:40147	CHL1-AS2			101927174
HGNC:52778	CHMP1B-AS1			109729129
HGNC:1279	CHODL-AS1		C21orf39	54075
HGNC:1279	CHODL-AS1		NCRNA00157	54075
HGNC:40150	CHRM3-AS1			100873984
HGNC:43725	CHRM3-AS2			100506915
HGNC:54059	CHROMR	CHROME	PRKRA-AS1	101927027
HGNC:28588	CIRBP-AS1	MGC39338	C19orf23	148046
HGNC:49426	CISTR	CISTR-ACT		102216268
HGNC:49426	CISTR	CISTRACT		102216268
HGNC:49426	CISTR	re52431		102216268
HGNC:48997	CKMT2-AS1			100131067
HGNC:54055	CLCA4-AS1			105378828
HGNC:39907	CLDN10-AS1			100874194
HGNC:53407	CLEC12A-AS1			400002
HGNC:48586	CLIP1-AS1			100507066
HGNC:29841	CLLU1			574028
HGNC:52287	CLMAT3	SPARC-AS1		101927096
HGNC:30895	CLRN1-AS1	UCRP	CLRN1OS	116933
HGNC:49095	CLSTN2-AS1			101927808
HGNC:39893	CLYBL-AS1			101927465
HGNC:39894	CLYBL-AS2			100874063
HGNC:53592	CNNM3-DT	LOC100506036		100506036
HGNC:41031	CNOT10-AS1			100874109
HGNC:48712	CNTFR-AS1			415056
HGNC:39985	CNTN4-AS1			100873975
HGNC:39986	CNTN4-AS2			100873976
HGNC:40825	COA6-AS1			101927765
HGNC:53133	COL1A2-AS1	TCONS_00013888		101927525
HGNC:53133	COL1A2-AS1	lncRNA8975-1		101927525
HGNC:40156	COL4A2-AS1			100874203
HGNC:31368	COL5A1-AS1	bA54A22.4	C9orf104	414316
HGNC:23132	COL18A1-AS1	PRED80	C21orf123	378832
HGNC:23132	COL18A1-AS1	PRED80	NCRNA00175	378832
HGNC:40155	COL18A1-AS2			100874236
HGNC:53171	COPDA1			
HGNC:2238	COPG2IT1	CIT1		53844
HGNC:2238	COPG2IT1	NCRNA00170		53844
HGNC:2238	COPG2IT1	COPG2AS		53844
HGNC:38873	COX10-AS1		COX10AS	100874058
HGNC:38873	COX10-AS1		COX10-AS	100874058
HGNC:39898	CPB2-AS1			100509894
HGNC:27523	CPEB1-AS1			283692
HGNC:49082	CPEB2-DT		CPEB2-AS1	441009
HGNC:53937	CPNE8-AS1	RP11-396F22.1		107984504
HGNC:30102	CPS1-IT1	PRO0132	CPS1IT	29034
HGNC:30102	CPS1-IT1	CPS1-IT	CPS1IT	29034
HGNC:41030	CREB3L2-AS1			100130880
HGNC:54057	CRIM1-DT			100288911
