HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:5489	IGHD2-15	IGHD215		28503
HGNC:5489	IGHD2-15	D2		28503
HGNC:5491	IGHD2-21	IGHD221		28502
HGNC:5493	IGHD2OR15-2A	IGHD2/OR15-2A		28333
HGNC:5493	IGHD2OR15-2A	IGHD2OR152A		28333
HGNC:5494	IGHD2OR15-2B	IGHD2/OR15-2B		28332
HGNC:5494	IGHD2OR15-2B	IGHD2OR152B		28332
HGNC:5498	IGHD3-3	IGHD33		28501
HGNC:5498	IGHD3-3	DXP4		28501
HGNC:5499	IGHD3-9	IGHD39		28500
HGNC:5499	IGHD3-9	DXP1		28500
HGNC:5495	IGHD3-10	IGHD310		28499
HGNC:5495	IGHD3-10	DXP'1		28499
HGNC:5496	IGHD3-16	IGHD316		28498
HGNC:5497	IGHD3-22	IGHD322		28497
HGNC:5500	IGHD3OR15-3A	IGHD3/OR15-3A		28331
HGNC:5500	IGHD3OR15-3A	IGHD3OR153A		28331
HGNC:5501	IGHD3OR15-3B	IGHD3/OR15-3B		28330
HGNC:5501	IGHD3OR15-3B	IGHD3OR153B		28330
HGNC:5505	IGHD4-4	IGHD44		28496
HGNC:5505	IGHD4-4	DA4		28496
HGNC:5502	IGHD4-11	IGHD411		28495
HGNC:5502	IGHD4-11	DA1		28495
HGNC:5503	IGHD4-17	IGHD417		28494
HGNC:5504	IGHD4-23	IGHD423		28493
HGNC:5506	IGHD4OR15-4A	IGHD4/OR15-4A		28329
HGNC:5506	IGHD4OR15-4A	IGHD4OR154A		28329
HGNC:5507	IGHD4OR15-4B	IGHD4/OR15-4B		28328
HGNC:5507	IGHD4OR15-4B	IGHD4OR154B		28328
HGNC:5511	IGHD5-5	IGHD55		28492
HGNC:5511	IGHD5-5	DK4		28492
HGNC:5508	IGHD5-12	IGHD512		28491
HGNC:5508	IGHD5-12	DK1		28491
HGNC:5509	IGHD5-18	IGHD518		28490
HGNC:5510	IGHD5-24	IGHD524		28489
HGNC:5512	IGHD5OR15-5A	IGHD5/OR15-5A		28327
HGNC:5512	IGHD5OR15-5A	IGHD5OR155A		28327
HGNC:5513	IGHD5OR15-5B	IGHD5/OR15-5B		28326
HGNC:5513	IGHD5OR15-5B	IGHD5OR155B		28326
HGNC:5517	IGHD6-6	IGHD66		28488
HGNC:5517	IGHD6-6	D(N4)		28488
HGNC:5514	IGHD6-13	IGHD613		28487
HGNC:5514	IGHD6-13	DN1		28487
HGNC:5515	IGHD6-19	IGHD619		28486
HGNC:5516	IGHD6-25	IGHD625		28485
HGNC:5518	IGHD7-27	IGHD727		28484
HGNC:5518	IGHD7-27	DHQ52		28484
HGNC:5522	IGHE			3497
HGNC:5525	IGHG1			3500
HGNC:5526	IGHG2			3501
