HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:50797	AKIRIN1P2			106480306
HGNC:50796	AKIRIN2P1			100216487
HGNC:420	AKR1B1P1		ALDRL1	401982
HGNC:425	AKR1B1P2		ALDRP	236
HGNC:422	AKR1B1P3		ALDRL3	729347
HGNC:423	AKR1B1P4		ALDRL4	390402
HGNC:20002	AKR1B1P5		AKR1B1P	390482
HGNC:33498	AKR1B1P6			100129769
HGNC:33497	AKR1B1P7			126242
HGNC:33496	AKR1B1P8			392525
HGNC:45062	AKR1B10P1			340888
HGNC:45063	AKR1B10P2			643582
HGNC:44679	AKR1C5P			100996684
HGNC:44680	AKR1C6P	TAKR		389932
HGNC:44681	AKR1C7P			648947
HGNC:23469	AKR1C8P		AKR1CL1	340811
HGNC:11288	AKR1D1P1		SRD5BP1	80701
HGNC:11288	AKR1D1P1		AKR1D1P	80701
HGNC:24062	AKR7A2P1	AFARP1		246182
HGNC:878	ALDH7A1P1		ATQL1	541
HGNC:879	ALDH7A1P2		ATQL2	542
HGNC:880	ALDH7A1P3		ATQL3	543
HGNC:881	ALDH7A1P4		ATQL4	544
HGNC:415	ALDOAP1			391538
HGNC:416	ALDOAP2			228
HGNC:44372	ALG1L3P			100132066
HGNC:44374	ALG1L5P			647415
HGNC:44375	ALG1L6P			339879
HGNC:44376	ALG1L7P			728263
HGNC:44377	ALG1L8P			645015
HGNC:44378	ALG1L9P			285407
HGNC:44379	ALG1L10P			106479037
HGNC:44380	ALG1L11P			106480789
HGNC:44381	ALG1L12P			100421097
HGNC:44382	ALG1L13P			106479038
HGNC:44383	ALG1L14P			100996649
HGNC:44384	ALG1L15P			730086
HGNC:45159	ALG3P1			442131
HGNC:29586	ALMS1P1		ALMS1L	200420
HGNC:29586	ALMS1P1		ALMS1P	200420
HGNC:431	ALOX12P1		ALOX12P	243
HGNC:432	ALOX12P2			245
HGNC:13742	ALOX15P1		ALOX15P	100652883
HGNC:39027	ALOX15P2			642959
HGNC:44238	ALOXE3P1			100420216
HGNC:14016	ALPPP			260330
HGNC:44898	AMD1P1			100133024
HGNC:460	AMD1P2	AMDPX	AMD2	263
HGNC:460	AMD1P2	AMDPX	AMD	263
HGNC:460	AMD1P2	AMDPX	AMDP1	263
HGNC:460	AMD1P2	AMDPY	AMD2	263
HGNC:460	AMD1P2	AMDPY	AMD	263
HGNC:460	AMD1P2	AMDPY	AMDP1	263
HGNC:51608	AMD1P3			728931
HGNC:51609	AMD1P4			100129761
HGNC:39809	AMMECR1LP1			100420921
HGNC:479	AMYP1		AMY2P	281
HGNC:26491	AMZ2P1	FLJ32065		201283
HGNC:38072	AMZ2P2			100421018
HGNC:44150	ANAPC1P1			100286979
HGNC:33976	ANAPC10P1		ANAPC10P	729198
HGNC:43601	ANKRD18CP			101926917
HGNC:28016	ANKRD18DP			348840
HGNC:43609	ANKRD18EP			100131031
HGNC:22567	ANKRD19P	FLJ36178	ANKRD19	138649
HGNC:33833	ANKRD20A5P	MGC26718	ANKRD20A5	440482
HGNC:37714	ANKRD20A6P			728157
HGNC:31980	ANKRD20A7P			653436
HGNC:23666	ANKRD20A8P		ANKRD20B	729171
HGNC:42023	ANKRD20A9P			284232
HGNC:39707	ANKRD20A10P		ANKRD20A4P1	100421422
HGNC:42024	ANKRD20A11P		C21orf81	391267
HGNC:43603	ANKRD20A12P			100874392
HGNC:43604	ANKRD20A13P			100132733
HGNC:43605	ANKRD20A14P			100533719
HGNC:43606	ANKRD20A15P			100533720
HGNC:43607	ANKRD20A16P			100421427
HGNC:43608	ANKRD20A17P			100421363
HGNC:23756	ANKRD20A18P		C21orf126	391269
HGNC:42737	ANKRD20A19P			400110
HGNC:32319	ANKRD20A20P		CCDC29	728788
HGNC:52329	ANKRD20A21P			102723552
HGNC:32955	ANKRD26P1	FLJ43980		124149
HGNC:39687	ANKRD26P2			646929
HGNC:39689	ANKRD26P3		LINC00414	100101938
HGNC:39690	ANKRD26P4			100873882
HGNC:19722	ANKRD30BP1	PRED4	C21orf110	642460
HGNC:19722	ANKRD30BP1	PRED4	ANKRD30BP	642460
HGNC:16620	ANKRD30BP2	CT85	C21orf99	149992
HGNC:16620	ANKRD30BP2	CTSP-1	C21orf99	149992
HGNC:27873	ANKRD30BP3			338579
HGNC:28169	ANKRD36BP1	MGC12538	ANKRD26L1	84832
HGNC:28169	ANKRD36BP1	MGC12538	ANKRD36BL1	84832
HGNC:33607	ANKRD36BP2			645784
HGNC:37759	ANKRD36P1			100132420
HGNC:39214	ANKRD54P1			100419962
HGNC:37984	ANKRD57P1			100131984
HGNC:42363	ANKRD62P1			107080639
HGNC:32248	ANO7L1		TMEM16M	101927546
HGNC:32248	ANO7L1		C1orf224	101927546
HGNC:32248	ANO7L1		ANO7P1	101927546
HGNC:6214	ANOS2P	KAL-Y	ADMLY	3734
HGNC:6214	ANOS2P	KAL-Y	KALP	3734
HGNC:42949	ANP32AP1			723972
HGNC:24267	ANP32BP1			646791
HGNC:38552	ANP32BP2			100130708
HGNC:44089	ANP32BP3			100652899
HGNC:45004	ANTXRLP1			100996567
HGNC:538	ANXA2P1		LPC2A	303
HGNC:538	ANXA2P1		ANX2P1	303
HGNC:538	ANXA2P1		ANX2L1	303
HGNC:539	ANXA2P2		ANX2P2	304
HGNC:539	ANXA2P2		ANX2L2	304
HGNC:539	ANXA2P2		LPC2B	304
HGNC:540	ANXA2P3	LIP2	ANX2P3	305
HGNC:540	ANXA2P3	LIP2	ANX2L3	305
HGNC:540	ANXA2P3	LIP2	LPC2C	305
HGNC:48869	AOC4P	UPAT		90586
HGNC:18450	AOX2P	AOH2	AOX2	344454
HGNC:19049	AOX3P	AOH1		107126360
HGNC:297	AP1B1P1	dJ127L4.2	ADTB1L1	23782
HGNC:298	AP1B1P2	dJ127L4.3	ADTB1L2	23781
HGNC:50752	AP1S2P1			106480305
HGNC:595	API5P1		API5L1	642812
HGNC:39070	API5P2			728664
HGNC:43835	APOBEC3AP1			105377532
HGNC:608	APOC1P1	lincRNA-APOC1P1-3		342
HGNC:53942	APONP			100419033
HGNC:48739	APOOP1			100286948
HGNC:48740	APOOP2			100129005
HGNC:48741	APOOP3			100131528
HGNC:48742	APOOP4			100128725
HGNC:48743	APOOP5			644649
HGNC:32048	AQP7P1			375719
HGNC:32049	AQP7P2			389756
HGNC:31976	AQP7P3	AQPap-3		441432
HGNC:32056	AQP7P4			100132938
HGNC:51836	AQP7P5			102724655
HGNC:50824	ARAFP1			100421741
HGNC:647	ARAFP2	PKS1	ARAF2	644000
HGNC:647	ARAFP2	PKS1	ARAFPS	644000
HGNC:647	ARAFP2	PKS1	ARAF2P	644000
HGNC:35474	ARAFP3		ARAF3P	285893
HGNC:22500	ARF1P1			442334
HGNC:39883	ARF1P2			100420012
HGNC:39884	ARF1P3			442396
HGNC:44341	ARF2P	MGC57346		108489980
HGNC:657	ARF4P1		ARF4P	380
HGNC:16599	ARF4P2	dJ885L7.7		170485
HGNC:32380	ARF4P3			390423
HGNC:37628	ARF4P4			100129023
HGNC:37629	ARF4P5			100316867
HGNC:17252	ARGFXP1			503583
HGNC:23977	ARGFXP2			503640
HGNC:19921	ARHGAP16P		ARHGAP15P	319102
HGNC:45039	ARHGAP23P1			102577425
HGNC:28630	ARHGAP27P1	loc146880		146880
HGNC:53771	ARHGAP27P2			440461
HGNC:43940	ARHGAP42P1			100887075
HGNC:43939	ARHGAP42P2			100130693
HGNC:19327	ARHGAP42P3		OPHN1P1	266698
HGNC:43941	ARHGAP42P4			254398
HGNC:43942	ARHGAP42P5			100128514
HGNC:38086	ARHGEF34P			728377
HGNC:31732	ARIH2P1		ARIH2P	390844
HGNC:17742	ARL2BPP1	HsT2883		399666
HGNC:31036	ARL2BPP2	bcm1040	ARL2BPL	643898
HGNC:39447	ARL2BPP3			646879
HGNC:39448	ARL2BPP4			100130265
HGNC:39449	ARL2BPP5			100874420
HGNC:39450	ARL2BPP6			100874421
HGNC:39451	ARL2BPP7			100131629
HGNC:39452	ARL2BPP8			100131784
HGNC:39453	ARL2BPP9			100421675
HGNC:39454	ARL2BPP10			100874449
HGNC:17741	ARL4AP1	Em:AC022390.2	ARL4B	387684
HGNC:17741	ARL4AP1	Em:AC022390.2	ARL4P	387684
HGNC:32379	ARL4AP2		ARL4P2	152709
HGNC:52372	ARL4AP3			107984161
HGNC:52373	ARL4AP4			100420471
HGNC:52374	ARL4AP5			101928788
HGNC:43933	ARL5AP1			641382
HGNC:43937	ARL5AP2			641380
HGNC:43935	ARL5AP3			106480778
HGNC:43936	ARL5AP4			641379
HGNC:23178	ARL6IP1P1		ARL6IPP1	100288702
HGNC:44971	ARL6IP1P2			646348
HGNC:44972	ARL6IP1P3			729790
HGNC:44937	ARMC4P1			101060171
HGNC:49918	ARMC8P1			100130871
HGNC:43646	ARMC10P1			389137
HGNC:49917	ARMCX7P	ARMCX6-ps		653354
HGNC:49917	ARMCX7P	GASP10ps		653354
HGNC:16092	ARPC3P1	dJ470L14.3	ARPC3B	87171
HGNC:39431	ARPC3P2			391160
HGNC:39432	ARPC3P3			729494
HGNC:39434	ARPC3P4			100421973
HGNC:39435	ARPC3P5			441131
HGNC:718	ARSDP1	ARSDY1	ARSDP	10034
HGNC:720	ARSEP1		ARSEP	10033
HGNC:722	ARSFP1		ARSFP	23757
HGNC:51489	ART2BP			106481723
HGNC:724	ART2P	ART1P	RT6	418
HGNC:20972	ASB9P1			728619
HGNC:19332	ASH2LP1			266703
HGNC:53059	ASH2LP2			100422088
HGNC:53060	ASH2LP3			100736411
HGNC:747	ASLP1		ASLL	436
HGNC:754	ASNSP1		ASNSL1	389652
HGNC:755	ASNSP2		ASNSL2	442
HGNC:39399	ASNSP3			100423061
HGNC:39400	ASNSP4			100419423
HGNC:39401	ASNSP5			100873794
HGNC:49876	ASNSP6			100423060
HGNC:759	ASS1P1		ASSP1	442167
HGNC:765	ASS1P2		ASSP2	447
HGNC:766	ASS1P3		ASSP3	158452
HGNC:767	ASS1P4		ASSP4	449
HGNC:768	ASS1P5		ASSP5	450
HGNC:769	ASS1P6		ASSP6	451
HGNC:770	ASS1P7		ASSP7	339845
HGNC:771	ASS1P8		ASSP8	453
HGNC:772	ASS1P9		ASSP9	454
HGNC:760	ASS1P10		ASSP10	455
HGNC:761	ASS1P11	TCAG_1641141	ASSP11	340274
HGNC:762	ASS1P12		ASSP12	392302
HGNC:763	ASS1P13		ASSP13	341230
HGNC:764	ASS1P14		ASSP14	459
HGNC:37691	ATF1P1			100128159
HGNC:789	ATF4P1	TAXREB67P	TXREBP	469
HGNC:789	ATF4P1	TAXREB67P	ATF4P	469
HGNC:34025	ATF4P2			340600
HGNC:788	ATF4P3		ATF4C	643159
HGNC:787	ATF4P4		ATF4B	100127952
HGNC:31123	ATG3P1	dJ54G6.1	ATG3P	100135756
HGNC:44081	ATG4AP1			106480786
HGNC:21466	ATG12P1		ATG12P	100151642
HGNC:38605	ATG12P2			100293948
HGNC:809	ATP1B1P1		ATP1BL1	485
HGNC:807	ATP1B3P1			484
HGNC:827	ATP5F1AP1		ATP5AP1	442416
HGNC:827	ATP5F1AP1		ATP5A1P5	442416
HGNC:827	ATP5F1AP1		ATP5AL1	442416
HGNC:827	ATP5F1AP1		ATP5A1P6	442416
HGNC:827	ATP5F1AP1		ATP5A1P1	442416
HGNC:828	ATP5F1AP2		ATP5AP2	504
HGNC:828	ATP5F1AP2		ATP5A1P2	504
HGNC:829	ATP5F1AP3		ATP5AP3	645443
HGNC:829	ATP5F1AP3		ATP5A1P3	645443
HGNC:23563	ATP5F1AP4		ATP5AP4	100129782
HGNC:23563	ATP5F1AP4		ATP5A1P4	100129782
HGNC:37665	ATP5F1AP7		ATP5A1P9	442415
HGNC:37665	ATP5F1AP7		ATP5A1P7	442415
HGNC:37666	ATP5F1AP8		ATP5A1P8	392322
HGNC:37668	ATP5F1AP10		ATP5A1P10	100132619
HGNC:831	ATP5F1BP1	ATPMBL1	ATPSBL1	507
HGNC:831	ATP5F1BP1	ATPMBL1	ATP5BL1	507
HGNC:831	ATP5F1BP1	ATPMBL1	ATP5BP1	507
HGNC:834	ATP5F1CP1		ATP5CL2	645560
HGNC:834	ATP5F1CP1		ATP5C2	645560
HGNC:834	ATP5F1CP1		ATP5C1P1	645560
HGNC:839	ATP5F1EP1		ATP5EP1	23744
HGNC:34026	ATP5F1EP2		ATP5EP2	432369
HGNC:19815	ATP5MC1P1		ATP5GP3	319136
HGNC:19815	ATP5MC1P1		ATP5G1P1	319136
HGNC:19817	ATP5MC1P2		ATP5GP4	319137
HGNC:19817	ATP5MC1P2		ATP5G1P2	319137
HGNC:39506	ATP5MC1P3		ATP5G1P3	646619
HGNC:39507	ATP5MC1P4		ATP5G1P4	100287755
HGNC:39508	ATP5MC1P5		ATP5G1P5	390424
HGNC:39509	ATP5MC1P6		ATP5G1P6	100505704
HGNC:39510	ATP5MC1P7		ATP5G1P7	100130962
HGNC:39511	ATP5MC1P8		ATP5G1P8	100288222
HGNC:844	ATP5MC2P1		ATP5GP1	520
HGNC:844	ATP5MC2P1		ATP5G2P1	520
HGNC:19672	ATP5MC2P2		ATP5GP2	319119
HGNC:19672	ATP5MC2P2		ATP5G2P2	319119
HGNC:42187	ATP5MC2P3		ATP5G2P3	100507097
HGNC:42188	ATP5MC2P4		ATP5G2P4	654480
HGNC:31716	ATP5MDP1		USMG5P1	100288307
HGNC:849	ATP5MFP1		ATP5J2LP	101241877
HGNC:21540	ATP5MFP2	bA249L21.4	ATP5J2P2	387107
HGNC:21286	ATP5MFP3	bA159H20.5	ATP5J2P3	445573
HGNC:32451	ATP5MFP4		ATP5J2P4	654485
HGNC:33611	ATP5MFP5		ATP5J2P5	654484
