GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
SH2D4A	3.07895375192297e-17	3.12439073932999e-16	2.02710552748131e-39	1.26187319085712e-37	0.206521739130435	0.326086956521739	0.467391304347826	9.83759824561404	9.43840777777778	8.57471317829457	0.907942081230473	-1.01848274007277
MTMR7	5.33180460439059e-17	5.31755932491321e-16	5.94592904675805e-19	5.84422236569509e-18	0.206521739130435	0.333333333333333	0.460144927536232	4.91103859649123	4.46104673913043	3.9217874015748	0.762713025714973	-0.711403873592982
REEP4	5.82644448606453e-17	5.76685584927523e-16	2.1131205792143e-37	1.06207734948784e-35	0.206521739130435	0.340579710144928	0.452898550724638	10.0839456140351	9.79620638297872	9.0097216	0.736646070656093	-0.895101578807946
PPAPDC1B	6.68812616255189e-17	6.56995250479251e-16	1.51930583907262e-17	1.26948709372175e-16	0.369565217391304	0.420289855072464	0.210144927536232	9.73403431372549	9.37346120689655	8.49492068965517	0.653419945909398	-1.04724903511547
TMX4	9.48506802705036e-17	9.28257781074254e-16	6.57027549420504e-24	1.03982961740914e-22	0.405797101449275	0.384057971014493	0.210144927536232	9.66911964285714	9.28245943396226	8.52675862068966	0.65392025261324	-0.954351929769061
FZD3	1.29120378094668e-16	1.25892368642301e-15	1.14800291298888e-27	2.50748004679149e-26	0.231884057971014	0.344202898550725	0.423913043478261	7.9066828125	7.31268631578947	6.35144102564103	1.12449507665094	-1.20033821964199
RPL23AP53	1.68293879135027e-16	1.62871076362899e-15	3.90526820535168e-31	1.09670501857056e-29	0.231884057971014	0.355072463768116	0.41304347826087	7.40360625	7.11184489795918	6.34195087719298	0.705760966981132	-0.885157764782327
PCNA	1.74020192361864e-16	1.68101575837911e-15	1.32365111489975e-15	9.24081666196364e-15	0.41304347826087	0.384057971014493	0.202898550724638	12.1024219298246	11.6741481132075	11.0619517857143	0.639897238466537	-0.834120032467533
EXTL3	2.02156089992665e-16	1.93138524003962e-15	1.77054603635335e-24	2.97882407467556e-23	0.228260869565217	0.344202898550725	0.427536231884058	10.2784031746032	9.93666736842105	9.31602881355932	0.685563737983458	-0.756900300364729
CDC25B	2.96715871555617e-16	2.7989840157936e-15	6.36923185558506e-14	3.71704390322034e-13	0.409420289855072	0.38768115942029	0.202898550724638	11.9698415929204	11.4608495327103	10.9158160714286	0.696242819914218	-0.806470292207793
BTBD3	3.46063653096039e-16	3.24690960696571e-15	2.53533204614161e-21	3.11495565537464e-20	0.402173913043478	0.391304347826087	0.206521739130435	9.85748378378378	9.56337314814815	8.83159298245614	0.54690742014742	-0.880849939918289
ZNF395	6.9655122616901e-16	6.42006474066887e-15	5.87465982201181e-28	1.29833458196533e-26	0.22463768115942	0.347826086956522	0.427536231884058	10.9886193548387	10.6166145833333	10.0247923728814	0.698336644558335	-0.73779876635915
MTMR9	1.08386676409319e-15	9.88531886413785e-15	1.00627135136669e-25	1.89819368553263e-24	0.213768115942029	0.355072463768116	0.431159420289855	8.08674915254237	7.76536734693878	7.18929495798319	0.637292470514723	-0.696846443290692
ADAM9	2.37225104295231e-15	2.10125151702861e-14	2.64492612193596e-20	2.99357547437297e-19	0.373188405797101	0.420289855072464	0.206521739130435	12.0529	11.664699137931	10.6909614035088	0.70902774566474	-1.156316222062
PBK	4.1341787018834e-15	3.60086964934044e-14	1.1044955075172e-32	3.38138583653832e-31	0.217391304347826	0.351449275362319	0.431159420289855	9.59592833333333	9.17307113402062	8.06510588235294	1.03326398148148	-1.26956672911203
CLN8	4.15270937211558e-15	3.61099154387288e-14	4.06812478478505e-24	6.57768228189272e-23	0.228260869565217	0.36231884057971	0.409420289855072	8.79794285714286	8.539833	7.96998761061947	0.560422199865862	-0.669605640914273
PSD3	4.56896480268472e-15	3.96634718585222e-14	1.15400607904967e-19	1.21414442401423e-18	0.210144927536232	0.326086956521739	0.463768115942029	9.54370344827586	9.10010888888889	8.36712265625	0.873971796899715	-0.906827343749999
CDCA2	1.12498358434459e-14	9.5440977464039e-14	1.72472701511316e-34	6.19409173216122e-33	0.210144927536232	0.351449275362319	0.438405797101449	8.50169827586207	8.18240721649484	7.12220991735537	0.907749193293261	-1.17967395361237
PLEKHA2	2.44974854136982e-14	2.01295375427652e-13	6.47946922283324e-12	3.11464833298355e-11	0.376811594202899	0.416666666666667	0.206521739130435	10.5263346153846	10.0856130434783	9.59271403508772	0.604066010733451	-0.702191444364336
ESCO2	4.00307127384433e-14	3.24845504302958e-13	3.77607302594635e-29	9.1582030856556e-28	0.217391304347826	0.351449275362319	0.431159420289855	8.62705833333333	8.22880206185567	7.24278907563025	0.94147638888889	-1.13821283519777
MTUS1	1.01573563655324e-13	8.05498397060275e-13	2.49098283533686e-27	5.25639598304135e-26	0.206521739130435	0.333333333333333	0.460144927536232	11.0438333333333	10.5541684782609	9.86681338582677	0.888268036529681	-0.874676547059135
FDFT1	1.08165146902794e-13	8.5647129956667e-13	9.9419328828822e-35	3.64050189387892e-33	0.210144927536232	0.347826086956522	0.442028985507246	12.6773620689655	12.4531520833333	11.5311885245902	0.740171243277443	-1.00640628060464
FAM160B2	1.24230463362705e-13	9.77753616767315e-13	1.68600930574478e-26	3.34959827497699e-25	0.206521739130435	0.340579710144928	0.452898550724638	9.97725263157895	9.78659787234043	9.1186024	0.571930713770728	-0.739964487417218
MFHAS1	2.68326876495579e-13	2.04413448478994e-12	2.04078495092211e-23	2.97747335613051e-22	0.217391304347826	0.344202898550725	0.438405797101449	9.99274666666667	9.69495684210526	8.90248347107438	0.741721666666667	-0.907746851506266
KBTBD11	3.87109743251624e-13	2.90666022734625e-12	1.15093554430924e-17	9.76987331362507e-17	0.228260869565217	0.36231884057971	0.409420289855072	9.79489047619048	9.321877	8.64362389380531	0.832837894030853	-0.861074265703891
LONRF1	1.13294113832087e-12	8.1665522605033e-12	1.16902457304896e-19	1.22649066863423e-18	0.206521739130435	0.33695652173913	0.456521739130435	8.8337947368421	8.38701075268817	7.94159920634921	0.703048161499639	-0.61518946031746
NAT1	1.51705028103531e-12	1.07426893884696e-11	2.37219141587661e-34	8.20382864657328e-33	0.206521739130435	0.326086956521739	0.467391304347826	8.15925964912281	7.75953888888889	6.69283643410853	1.02805234318673	-1.2216962189527
KIF13B	3.76932601283216e-12	2.59532249579195e-11	9.7181508801287e-23	1.34934176718516e-21	0.235507246376812	0.347826086956522	0.416666666666667	11.3272153846154	11.0179958333333	10.3107173913043	0.694703062340503	-0.832118633540373
SLC25A37	5.13792296447228e-12	3.49619601723075e-11	6.09484663809705e-27	1.26468067740514e-25	0.210144927536232	0.347826086956522	0.442028985507246	9.34567413793103	9.009821875	8.27112786885246	0.749249826004428	-0.865183819459229
ATRN	7.85851515516764e-12	5.21837359604906e-11	9.1138724827518e-08	2.72322509784624e-07	0.409420289855072	0.38768115942029	0.202898550724638	10.154914159292	9.59820654205607	9.13894107142857	0.714492073402464	-0.745210746753248
HMBOX1	8.7054070642979e-12	5.72978051864242e-11	3.04100554304113e-25	5.368460761403e-24	0.235507246376812	0.340579710144928	0.423913043478261	6.54509076923077	6.27922659574468	5.49133931623932	0.702749537003281	-0.896573891307853
NUDT18	3.56233923191474e-11	2.22688813707971e-10	1.37236022512437e-36	6.17562101305969e-35	0.206521739130435	0.340579710144928	0.452898550724638	7.66321052631579	7.59459893617021	6.6881504	0.585990891612593	-0.932348275496689
ZNF596	4.69099131386256e-11	2.89093403375539e-10	9.0910243432388e-25	1.56474543419341e-23	0.231884057971014	0.355072463768116	0.41304347826087	5.431815625	5.1414306122449	4.27306842105263	0.757334492924529	-0.98308219623132
EPHX2	6.73033512729665e-11	4.04749497989094e-10	4.93733354213996e-14	2.91326078671292e-13	0.210144927536232	0.355072463768116	0.434782608695652	10.0733293103448	9.51083163265306	8.75259833333333	0.979873805757672	-0.967367051282052
EIF4EBP1	7.0624738353705e-11	4.2374843012223e-10	8.12922429342405e-18	7.07754143028877e-17	0.358695652173913	0.431159420289855	0.210144927536232	10.428503030303	10.0451025210084	9.37161896551724	0.604090035952748	-0.847596630813035
FAM86B2	1.38505741925321e-10	7.98049622162876e-10	1.75344453680638e-11	8.0357243496587e-11	0.210144927536232	0.347826086956522	0.442028985507246	4.44943103448276	3.799634375	2.8454368852459	1.18379708952863	-1.19892610176709
PLCB1	1.96695966395952e-10	1.12465330457904e-09	5.19856626258039e-05	0.000114148412643961	0.41304347826087	0.384057971014493	0.202898550724638	8.44120964912281	7.47614056603774	7.31397678571429	1.02112569850552	-0.662245032467532
DOCK5	2.12115155837657e-10	1.20359805038827e-09	4.78989626499273e-29	1.14681170190691e-27	0.210144927536232	0.347826086956522	0.442028985507246	9.22315	8.97901979166667	7.9379237704918	0.826761926605505	-1.13304116457313
MSRA	7.84346665497585e-10	4.21707373857035e-09	2.24217101411649e-30	5.98179195551792e-29	0.217391304347826	0.347826086956522	0.434782608695652	7.745005	7.586375	6.7727125	0.610664722222222	-0.874674038461539
WWOX	1.1449581768926e-09	6.04399134589973e-09	0.0028213051581062	0.00510064456480479	0.202898550724638	0.554347826086957	0.242753623188406	7.95637321428571	7.41352941176471	7.19957462686567	0.60800275974026	-0.359405755909449
FAM86B1	1.44633198965028e-09	7.54344408973292e-09	6.50046824271584e-15	4.15029895496473e-14	0.210144927536232	0.347826086956522	0.442028985507246	7.10459137931035	6.64723125	5.71367786885246	0.979807434356217	-1.10580589738131
MACROD2	4.17811266924625e-09	2.04637458383139e-08	0.0405274982784366	0.0618580275476758	0.402173913043478	0.322463768115942	0.27536231884058	5.62736306306306	4.53440337078652	4.82313289473684	0.959969123669124	-0.317863105263158
FBXO16	4.42461651899831e-09	2.15901455913027e-08	4.09541667720585e-29	9.86863308991215e-28	0.228260869565217	0.347826086956522	0.423913043478261	5.46733174603175	5.19531979166667	3.65398461538462	1.11866085401297	-1.64911349782293
JAG1	7.82896870013127e-09	3.69595216141698e-08	1.15787768952772e-14	7.24400866061313e-14	0.398550724637681	0.394927536231884	0.206521739130435	11.2468818181818	11.0100798165138	10.2616666666667	0.493787239868565	-0.867354794520548
C20orf202	1.7965606438218e-08	8.09381545225237e-08	7.90937911995335e-08	2.38430435940482e-07	0.409420289855072	0.384057971014493	0.206521739130435	3.47701150442478	2.86318867924528	2.43268421052632	0.764367332645638	-0.747225835135784
TRIB3	2.08718121608539e-08	9.29097873531707e-08	0.000107418451949895	0.00022825750571115	0.409420289855072	0.384057971014493	0.206521739130435	10.8153265486726	10.2476858490566	10.0354280701754	0.641865812476247	-0.505150012016342
C8orf58	3.57014317171006e-08	1.54578029953246e-07	6.38341381393668e-24	1.01455534447036e-22	0.206521739130435	0.340579710144928	0.452898550724638	7.08073684210526	7.00642446808511	6.2849736	0.486099399182888	-0.749502558940398
BNIP3L	5.52418153469965e-08	2.3262991700516e-07	6.0847146938772e-23	8.51176381334507e-22	0.217391304347826	0.351449275362319	0.431159420289855	10.6290383333333	10.453106185567	9.62813949579832	0.630427685185186	-0.892201905475567
ZNF703	2.62858647338932e-07	1.0168018438144e-06	1.25539413490595e-07	3.69204495580608e-07	0.351449275362319	0.409420289855072	0.239130434782609	10.6164948453608	10.2273831858407	9.82609545454545	0.53707249899211	-0.58102025974026
CTSB	3.77890808997056e-07	1.42692006345276e-06	3.82223120638439e-15	2.52226741269359e-14	0.210144927536232	0.347826086956522	0.442028985507246	14.4132465517241	14.2924125	13.6562549180328	0.476848845302118	-0.681666510538642
RBPMS	4.08983025522103e-07	1.52995368029958e-06	0.011233135494908	0.018700658372632	0.235507246376812	0.358695652173913	0.405797101449275	9.73966769230769	9.02535252525253	9.05005625	0.70120228946409	-0.258408993902439
TGM3	9.10484136904042e-07	3.25903431469899e-06	1.2868816847907e-05	3.02486034782457e-05	0.409420289855072	0.384057971014493	0.206521739130435	4.55285575221239	3.73839811320755	3.11992280701754	1.03073427981975	-1.03872057197789
SDCBP2	1.42842216682254e-06	4.97994279107045e-06	2.17244065829607e-11	9.7995964477486e-11	0.409420289855072	0.384057971014493	0.206521739130435	9.93885486725664	9.59683301886792	8.44318245614035	0.74544566480265	-1.33012758952175
TMC2	1.63143925124263e-06	5.63509684533639e-06	4.7041717070727e-06	1.16281147094087e-05	0.409420289855072	0.384057971014493	0.206521739130435	1.60419646017699	1.12897830188679	0.8199	0.583300754655519	-0.554282191780822
SOX12	1.66319696332085e-06	5.73720615862359e-06	1.49520254125127e-05	3.49473184704224e-05	0.409420289855072	0.384057971014493	0.206521739130435	9.07165398230089	8.67870566037736	8.33451228070175	0.513310424018677	-0.546947536649844
PPP1R3B	5.23153025865227e-06	1.69708113790917e-05	2.8141864626547e-08	8.98374909232077e-08	0.213768115942029	0.344202898550725	0.442028985507246	9.84540508474576	9.48977052631579	9.19249344262295	0.522767296727329	-0.433526687247179
PTK2B	8.88795740937661e-06	2.78802313453795e-05	1.67952770071005e-16	1.29340947673238e-15	0.210144927536232	0.355072463768116	0.434782608695652	10.2900120689655	10.212212244898	9.55250083333333	0.440943720341664	-0.688636987179487
DUSP4	1.0409400285667e-05	3.24192645368866e-05	4.12088545187081e-20	4.58080570319568e-19	0.231884057971014	0.351449275362319	0.416666666666667	8.994334375	8.71546288659794	6.83009652173913	1.30159380896226	-1.99622211180124
TNFRSF10D	1.06292596698194e-05	3.30252740989753e-05	2.04407949865814e-16	1.55808916887513e-15	0.206521739130435	0.340579710144928	0.452898550724638	8.51648421052632	8.27900638297872	7.4947592	0.685107498197549	-0.873891131125828
RHOBTB2	1.15657789680197e-05	3.57015716992739e-05	6.30102547140057e-12	3.03277450202076e-11	0.206521739130435	0.340579710144928	0.452898550724638	8.98167894736842	8.76300531914894	8.264404	0.503263422254266	-0.581146993377482
TACC1	1.30648486457434e-05	4.00686027128256e-05	2.41334622017494e-11	1.08469893289451e-10	0.376811594202899	0.416666666666667	0.206521739130435	11.4508586538462	11.2282391304348	10.4817087719298	0.470016211985689	-0.852249218937756
