GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
FREM2	1.02271376167907e-09	3.25278966367467e-09	0.000297921167174413	0.000562841835831044	0.256830601092896	0.508196721311475	0.234972677595628	8.05349574468085	6.17343279569892	5.32292790697674	2.14897258291614	-1.48166887873754
MTMR7	1.02450467133024e-09	3.25658906294204e-09	1.06807150601781e-12	4.95563655940759e-12	0.286885245901639	0.475409836065574	0.237704918032787	5.32503142857143	4.83347011494253	4.07826781609195	0.743295413245757	-0.940198492151773
PPP3CC	1.05149245542865e-09	3.3365486920952e-09	2.14451365750356e-20	2.6735662653953e-19	0.281420765027322	0.486338797814208	0.23224043715847	8.8048786407767	8.64493820224719	7.94508235294118	0.386129591347041	-0.758481703998325
RAP1A	1.05838120036929e-09	3.3525636515178e-09	2.20439271701091e-08	6.5836909359288e-08	0.221311475409836	0.557377049180328	0.221311475409836	10.4353691358025	10.085362745098	9.65494444444444	0.472335802469136	-0.529893801169591
GALK2	1.17561567253106e-09	3.70030961826635e-09	2.00853314281e-14	1.13662612874225e-13	0.204918032786885	0.568306010928962	0.226775956284153	9.11353733333333	8.82589326923077	8.22654096385542	0.458593347079038	-0.675583064413129
SLC30A7	1.21679119521603e-09	3.81233317101247e-09	4.53053611155673e-10	1.57680633301606e-09	0.204918032786885	0.551912568306011	0.243169398907104	9.91938	9.50788712871287	9.08859101123596	0.539731202749142	-0.530711154829026
MOV10	1.25110529745455e-09	3.91759520034363e-09	2.22543850774631e-11	8.89692399624245e-11	0.224043715846995	0.557377049180328	0.218579234972678	10.5179134146341	10.1756357843137	9.73211625	0.467212710408793	-0.541655078671328
TRIM33	1.2766123679121e-09	3.99517486599886e-09	3.47347250437688e-12	1.51884542505928e-11	0.248633879781421	0.543715846994536	0.207650273224044	10.2479879120879	9.83508291457286	9.35623289473684	0.545241730269732	-0.608416760435572
PINX1	1.59783189129427e-09	4.96911159359797e-09	1.07089264263861e-10	3.97698437044419e-10	0.278688524590164	0.486338797814208	0.234972677595628	8.46371666666667	7.88898426966292	7.44501976744186	0.719357196969697	-0.65333130398671
C1orf86	1.65074086559955e-09	5.11617245575435e-09	2.6431360150481e-09	8.52281232335861e-09	0.207650273224044	0.587431693989071	0.204918032786885	10.1683565789474	9.70104	9.00855866666667	0.646406578947369	-0.814529649484536
PHF3	1.66742739807532e-09	5.16495803794062e-09	2.19972777904999e-15	1.41798725074718e-14	0.218579234972678	0.46448087431694	0.316939890710383	10.9027475	10.3599923529412	9.834	0.756094702797203	-0.699674
LNX2	1.82586666510491e-09	5.63336602154684e-09	4.07429608156453e-10	1.42474672657653e-09	0.259562841530055	0.521857923497268	0.218579234972678	9.05743578947368	8.53268062827225	8.06896625	0.661645014565936	-0.638021162587412
CCDC122	2.47847610265174e-09	7.56142904836937e-09	1.5789639807254e-07	4.32001730782947e-07	0.248633879781421	0.508196721311475	0.243169398907104	5.9986967032967	5.37556129032258	4.90501797752809	0.775420339660339	-0.675255668681297
ENTPD4	2.81199320854375e-09	8.55980764317583e-09	1.38373243212901e-17	1.15987947211906e-16	0.278688524590164	0.489071038251366	0.23224043715847	9.32616666666667	9.13697262569832	8.49355529411765	0.396354924242425	-0.712092748586979
SSU72	2.87688579102109e-09	8.74759092692993e-09	1.52085079585589e-11	6.19437737084921e-11	0.207650273224044	0.587431693989071	0.204918032786885	11.9348276315789	11.553203255814	11.06702	0.507361424682395	-0.585851477663232
PSD3	3.03529459615543e-09	9.20363342010263e-09	5.17858610259725e-07	1.33598817940954e-06	0.281420765027322	0.480874316939891	0.237704918032787	8.90532233009709	8.07011079545454	7.32100114942529	1.08301586621876	-1.05744938820912
