MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTA1
0.227649397144617	0.003	NA	NA	NA	NA	0	0.327683615819209	NA	MTA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTA3
0.173757938269501	0.012	NA	NA	NA	NA	0	0.621468926553672	NA	MTAP
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTBP
0.0408056486468102	0.408	NA	NA	NA	NA	0	0.0451977401129944	NA	MTCH1
0.0984513817802768	0.42	NA	NA	NA	NA	0	0.988700564971751	NA	MTCH2
0.466167187975336	0.102	NA	NA	NA	NA	0	0.983050847457627	NA	MTDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTERF
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTERFD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTERFD2
0.217465073733528	0.008	NA	NA	NA	NA	0	0.497175141242938	NA	MTERFD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTF2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTFMT
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTFR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTHFD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MTHFD1L
