MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
0.0037787546434403	0.474	NA	NA	NA	NA	0	0.739130434782609	NA	ACRV1
0.0405082830688144	0.467	NA	NA	NA	NA	0	0.0108695652173913	NA	ACSBG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSBG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSF2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSM1
0.200436967153037	0.164	NA	NA	NA	NA	0	0.0543478260869565	NA	ACSM2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSM3
0.0299249118653318	0.447	NA	NA	NA	NA	0	0.0543478260869565	NA	ACSM5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSS3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTB
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTBL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTG1
0.4205960157129	0	NA	NA	NA	NA	0	0.155797101449275	NA	ACTG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTL6A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTL6B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTL7B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTL8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTN1
0.103696050475883	0.158	NA	NA	NA	NA	0	0.115942028985507	NA	ACTN2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTN3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTN4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR3B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR3C
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTR8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACVR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACVR1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACVR1C
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACVR2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACVR2B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACVRL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACY1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACY3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACYP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACYP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADA
0.0257598905970145	0.436	NA	NA	NA	NA	0	0.108695652173913	NA	ADAD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM15
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM17
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM19
0.148486577956885	0.062	NA	NA	NA	NA	0	0.894927536231884	NA	ADAM20
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM21
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM21P1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM22
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM23
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM28
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM29
1.24332166117725	0	NA	NA	NA	NA	0	0.0253623188405797	NA	ADAM32
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM33
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM6
0.2220491932065	0.117	NA	NA	NA	NA	0	0.0253623188405797	NA	ADAM8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMDEC1
0.812537364062841	0.038	NA	NA	NA	NA	0	0.0072463768115942	NA	ADAMTS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS14
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS15
0.070789825666905	0.399	NA	NA	NA	NA	0	0.0108695652173913	NA	ADAMTS16
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS17
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS18
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS19
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS2
0.235613267917484	0.14	NA	NA	NA	NA	0	0.0471014492753623	NA	ADAMTS20
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTS9
0.209551607101002	0.315	NA	NA	NA	NA	0	0.0072463768115942	NA	ADAMTSL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTSL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTSL3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTSL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAMTSL5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAR
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADARB1
0.00482533736870663	0.538	NA	NA	NA	NA	0	0.0253623188405797	NA	ADARB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAT3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADC
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCK4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCK5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY6
0.111732748434275	0.093	NA	NA	NA	NA	0	0.855072463768116	NA	ADCY7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCY9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCYAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADCYAP1R1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADH1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADH1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADH1C
1.39088753529139	0	NA	NA	NA	NA	0	0.0072463768115942	NA	ADH4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADH5
0.268752170839123	0.118	NA	NA	NA	NA	0	0.0181159420289855	NA	ADH6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADHFE1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADI1
0.00742322449759162	0.52	NA	NA	NA	NA	0	0.0869565217391304	NA	ADIPOQ
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADIPOR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADIPOR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADM
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADNP
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADNP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADO
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADORA1
0.130620691977787	0.299	NA	NA	NA	NA	0	0.0181159420289855	NA	ADORA2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADORA2B
0.325276316846697	0.058	NA	NA	NA	NA	0	0.0217391304347826	NA	ADORA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADPGK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADPRH
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADPRHL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADPRHL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRA1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRA1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRA1D
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRA2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRA2B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRA2C
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRB3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRBK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRBK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADRM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADSL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADSS
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADSSL1
0.0840165915840382	0.435	NA	NA	NA	NA	0	0.0072463768115942	NA	AEBP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AEBP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AEN
